point,northing,easting,elevation,description
67,11320.0,11320.0,24.78,STM-30-RCP
68,11340.0,11340.0,24.57,STM-36-RCP
69,11360.0,11360.0,24.37,STM-18-RCP-B45
70,11380.0,11380.0,24.18,STM-24-RCP-B90
71,11400.0,11400.0,24.01,STM-30-RCP-B225
72,11420.0,11420.0,23.86,STM-24-HDPE
73,11440.0,11440.0,23.73,STM-30-HDPE
74,11460.0,11460.0,23.63,STM-36-HDPE
75,11480.0,11480.0,23.56,STM-36x30-RCP-RED
76,11500.0,11500.0,23.51,STM-30x24-RCP-RED
77,11520.0,11520.0,23.5,CB-4-CONC
78,11540.0,11540.0,23.52,CB-5-CONC
79,11560.0,11560.0,23.56,DI-4-CONC
80,11580.0,11580.0,23.64,DI-5-CONC
81,11600.0,11600.0,23.74,YI-4-CONC
82,11620.0,11620.0,23.87,SMH-48-CONC
83,11640.0,11640.0,24.02,SMH-60-CONC
84,11660.0,11660.0,24.2,HW-0-CONC
85,11680.0,11680.0,24.38,STM-18-RCP-MES
86,11700.0,11700.0,24.58,STM-24-RCP-FES
87,11720.0,11720.0,24.79,STM-30-HDPE-MES
88,11740.0,11740.0,25.01,STM-36-RCP-FES
89,11760.0,11760.0,25.22,STM-30-RCP-MES-TWL-FG
90,11780.0,11780.0,25.43,STM-36-RCP-FES-TWL-FG
91,11800.0,11800.0,25.63,STM-24-HDPE-MES-TWL-FG
92,11820.0,11820.0,25.82,STM-30-HDPE-FES-TWL-FG
93,11840.0,11840.0,25.99,WM-6-DIP-B225
94,11860.0,11860.0,26.14,WM-6-DIP-B45
95,11880.0,11880.0,26.27,WM-6-DIP-B90
96,11900.0,11900.0,26.37,WM-8-PVC-B225
97,11920.0,11920.0,26.44,WM-8-PVC-B45
98,11940.0,11940.0,26.49,WM-8-PVC-B90
99,11960.0,11960.0,26.5,WM-12-DIP-B225
100,11980.0,11980.0,26.48,WM-12-DIP-B45
101,12000.0,12000.0,26.44,WM-12-DIP-B90
102,12020.0,12020.0,26.36,SSM-8-PVC-B225
103,12040.0,12040.0,26.26,SSM-8-PVC-B45
104,12060.0,12060.0,26.13,SSM-8-PVC-B90
105,12080.0,12080.0,25.98,SSM-10-PVC-B45
106,12100.0,12100.0,25.8,SSM-12-PVC-B90
107,12120.0,12120.0,25.61,SFM-6-HDPE-B225
108,12140.0,12140.0,25.41,SFM-6-HDPE-B45
109,12160.0,12160.0,25.2,SFM-6-HDPE-B90
110,12180.0,12180.0,24.99,STM-18-RCP-B45
111,12200.0,12200.0,24.78,STM-24-RCP-B90
112,12220.0,12220.0,24.57,STM-30-RCP-B225
113,12240.0,12240.0,24.37,WM-6-DIP-B225
114,12260.0,12260.0,24.18,WM-6-DIP-B45
115,12280.0,12280.0,24.01,WM-6-DIP-B90
116,12300.0,12300.0,23.86,WM-8-PVC-B225
117,12320.0,12320.0,23.73,WM-8-PVC-B45
118,12340.0,12340.0,23.63,WM-8-PVC-B90
119,12360.0,12360.0,23.56,WM-12-DIP-B225
120,12380.0,12380.0,23.51,WM-12-DIP-B45
121,12400.0,12400.0,23.5,WM-12-DIP-B90
122,12420.0,12420.0,23.52,SSM-8-PVC-B225
123,12440.0,12440.0,23.56,SSM-8-PVC-B45
124,12460.0,12460.0,23.64,SSM-8-PVC-B90
125,12480.0,12480.0,23.74,SSM-10-PVC-B45
126,12500.0,12500.0,23.87,SSM-12-PVC-B90
127,12520.0,12520.0,24.03,SFM-6-HDPE-B225
128,12540.0,12540.0,24.2,SFM-6-HDPE-B45
129,12560.0,12560.0,24.39,SFM-6-HDPE-B90
130,12580.0,12580.0,24.59,STM-18-RCP-B45
131,12600.0,12600.0,24.8,STM-24-RCP-B90
132,12620.0,12620.0,25.01,STM-30-RCP-B225
133,12640.0,12640.0,25.22,WVL-6-DIP
134,12660.0,12660.0,25.43,WVL-8-DIP
135,12680.0,12680.0,25.63,WVL-12-DIP
136,12700.0,12700.0,25.82,WVL-16-DIP
137,12720.0,12720.0,25.99,BFV-24-DIP
138,12740.0,12740.0,26.14,BFV-30-DIP
139,12760.0,12760.0,26.27,WFH-6-DIP
140,12780.0,12780.0,26.37,WMT-1-CU
141,12800.0,12800.0,26.44,WMT-2-CU
142,12820.0,12820.0,26.49,ARV-12-DIP
143,12840.0,12840.0,26.5,ARV-16-DIP
144,12860.0,12860.0,26.48,PRV-12-DIP
145,12880.0,12880.0,26.44,PRV-16-DIP
146,12900.0,12900.0,26.36,BOW-6-DIP
147,12920.0,12920.0,26.25,BOW-8-DIP
148,12940.0,12940.0,26.13,RPZ-2-CU
149,12960.0,12960.0,25.97,SSC-4-PVC
150,12980.0,12980.0,25.8,SSC-6-PVC
151,13000.0,13000.0,25.61,SSL-4-PVC
152,13020.0,13020.0,25.41,SSL-6-PVC
153,13040.0,13040.0,25.2,SSMH-48-CONC
154,13060.0,13060.0,24.99,SSMH-60-CONC
155,13080.0,13080.0,24.77,AIR-6-HDPE
156,13100.0,13100.0,24.56,AIR-8-HDPE
157,13120.0,13120.0,24.36,CB-4-CONC
158,13140.0,13140.0,24.18,CB-5-CONC
159,13160.0,13160.0,24.01,DI-4-CONC
160,13180.0,13180.0,23.86,DI-5-CONC
161,13200.0,13200.0,23.73,YI-4-CONC
162,13220.0,13220.0,23.63,SMH-48-CONC
163,13240.0,13240.0,23.56,SMH-60-CONC
164,13260.0,13260.0,23.51,HW-0-CONC
165,13280.0,13280.0,23.5,STM-18-RCP-MES
166,13300.0,13300.0,23.52,STM-24-RCP-FES
167,13320.0,13320.0,23.56,STM-30-HDPE-MES
168,13340.0,13340.0,23.64,STM-36-RCP-FES
169,13360.0,13360.0,23.75,STM-30-RCP-MES-TWL-FG
170,13380.0,13380.0,23.88,STM-36-RCP-FES-TWL-FG
171,13400.0,13400.0,24.03,STM-24-HDPE-MES-TWL-FG
172,13420.0,13420.0,24.2,STM-30-HDPE-FES-TWL-FG
173,13440.0,13440.0,24.39,STM-18-RCP-MES
174,13460.0,13460.0,24.59,STM-24-RCP-FES
175,13480.0,13480.0,24.8,STM-30-HDPE-MES
176,13500.0,13500.0,25.02,STM-36-RCP-FES
177,13520.0,13520.0,25.23,STM-30-RCP-MES-TWL-FG
178,13540.0,13540.0,25.44,STM-36-RCP-FES-TWL-FG
179,13560.0,13560.0,25.64,STM-24-HDPE-MES-TWL-FG
180,13580.0,13580.0,25.82,STM-30-HDPE-FES-TWL-FG
